sheet,cell,text,url,subaddress
Sheet1,A71,22-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/58?data-title=22-A+transcription&data-verticalTitle=22-A+transcription&data-type=book&data-id=book_transcription_58&data-boxTitle=22-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F58&data-maxWidth=300,
Sheet1,A73,22-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/60?data-title=22-C+transcription&data-verticalTitle=22-C+transcription&data-type=book&data-id=book_transcription_60&data-boxTitle=22-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F60&data-maxWidth=300,
Sheet1,A75,23-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/54?data-title=23-A+transcription&data-verticalTitle=23-A+transcription&data-type=book&data-id=book_transcription_54&data-boxTitle=23-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F54&data-maxWidth=300,
Sheet1,A77,23-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/55?data-title=23-B+transcription&data-verticalTitle=23-B+transcription&data-type=book&data-id=book_transcription_55&data-boxTitle=23-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F55&data-maxWidth=300,
Sheet1,A79,24-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/14?data-title=24-A+transcription&data-verticalTitle=24-A+transcription&data-type=book&data-id=book_transcription_14&data-boxTitle=24-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F14&data-maxWidth=300,
Sheet1,A81,25-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/72?data-title=25-A+transcription&data-verticalTitle=25-A+transcription&data-type=book&data-id=book_transcription_72&data-boxTitle=25-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F72&data-maxWidth=300,
Sheet1,A83,24-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/15?data-title=24-B+transcription&data-verticalTitle=24-B+transcription&data-type=book&data-id=book_transcription_15&data-boxTitle=24-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F15&data-maxWidth=300,
Sheet1,A85,26-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/132?data-title=26-A+transcription&data-verticalTitle=26-A+transcription&data-type=book&data-id=book_transcription_132&data-boxTitle=26-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F132&data-maxWidth=300,
Sheet1,A87,27-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/126?data-title=27-A+transcription&data-verticalTitle=27-A+transcription&data-type=book&data-id=book_transcription_126&data-boxTitle=27-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F126&data-maxWidth=300,
Sheet1,A89,28-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/143?data-title=28-A+transcription&data-verticalTitle=28-A+transcription&data-type=book&data-id=book_transcription_143&data-boxTitle=28-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F143&data-maxWidth=300,
Sheet1,A91,28-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/144?data-title=28-B+transcription&data-verticalTitle=28-B+transcription&data-type=book&data-id=book_transcription_144&data-boxTitle=28-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F144&data-maxWidth=300,
Sheet1,A93,29-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/121?data-title=29-A+transcription&data-verticalTitle=29-A+transcription&data-type=book&data-id=book_transcription_121&data-boxTitle=29-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F121&data-maxWidth=300,
Sheet1,A95,29-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/122?data-title=29-B+transcription&data-verticalTitle=29-B+transcription&data-type=book&data-id=book_transcription_122&data-boxTitle=29-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F122&data-maxWidth=300,
Sheet1,A97,30-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/88?data-title=30-A+transcription&data-verticalTitle=30-A+transcription&data-type=book&data-id=book_transcription_88&data-boxTitle=30-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F88&data-maxWidth=300,
Sheet1,A99,30-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/89?data-title=30-B+transcription&data-verticalTitle=30-B+transcription&data-type=book&data-id=book_transcription_89&data-boxTitle=30-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F89&data-maxWidth=300,
Sheet1,A101,31-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/123?data-title=31-C+transcription&data-verticalTitle=31-C+transcription&data-type=book&data-id=book_transcription_123&data-boxTitle=31-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F123&data-maxWidth=300,
Sheet1,A103,31-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/51?data-title=31-A+transcription&data-verticalTitle=31-A+transcription&data-type=book&data-id=book_transcription_51&data-boxTitle=31-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F51&data-maxWidth=300,
Sheet1,A105,32-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/90?data-title=32-A+transcription&data-verticalTitle=32-A+transcription&data-type=book&data-id=book_transcription_90&data-boxTitle=32-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F90&data-maxWidth=300,
Sheet1,A107,31-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/52?data-title=31-B+transcription&data-verticalTitle=31-B+transcription&data-type=book&data-id=book_transcription_52&data-boxTitle=31-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F52&data-maxWidth=300,
Sheet1,A109,33-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/136?data-title=33-A+transcription&data-verticalTitle=33-A+transcription&data-type=book&data-id=book_transcription_136&data-boxTitle=33-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F136&data-maxWidth=300,
Sheet1,A111,34-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/127?data-title=34-A+transcription&data-verticalTitle=34-A+transcription&data-type=book&data-id=book_transcription_127&data-boxTitle=34-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F127&data-maxWidth=300,
Sheet1,A113,35-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/118?data-title=35-A+transcription&data-verticalTitle=35-A+transcription&data-type=book&data-id=book_transcription_118&data-boxTitle=35-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F118&data-maxWidth=300,
Sheet1,A115,36-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/74?data-title=36-A+transcription&data-verticalTitle=36-A+transcription&data-type=book&data-id=book_transcription_74&data-boxTitle=36-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F74&data-maxWidth=300,
Sheet1,A117,36-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/75?data-title=36-B+transcription&data-verticalTitle=36-B+transcription&data-type=book&data-id=book_transcription_75&data-boxTitle=36-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F75&data-maxWidth=300,
Sheet1,A119,36-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/76?data-title=36-C+transcription&data-verticalTitle=36-C+transcription&data-type=book&data-id=book_transcription_76&data-boxTitle=36-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F76&data-maxWidth=300,
Sheet1,A121,37-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/37?data-title=37-A+transcription&data-verticalTitle=37-A+transcription&data-type=book&data-id=book_transcription_37&data-boxTitle=37-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F37&data-maxWidth=300,
Sheet1,A123,38-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/82?data-title=38-A+transcription&data-verticalTitle=38-A+transcription&data-type=book&data-id=book_transcription_82&data-boxTitle=38-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F82&data-maxWidth=300,
Sheet1,A125,37-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/38?data-title=37-B+transcription&data-verticalTitle=37-B+transcription&data-type=book&data-id=book_transcription_38&data-boxTitle=37-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F38&data-maxWidth=300,
Sheet1,A127,38-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/83?data-title=38-B+transcription&data-verticalTitle=38-B+transcription&data-type=book&data-id=book_transcription_83&data-boxTitle=38-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F83&data-maxWidth=300,
Sheet1,A129,39-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/64?data-title=39-A+transcription&data-verticalTitle=39-A+transcription&data-type=book&data-id=book_transcription_64&data-boxTitle=39-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F64&data-maxWidth=300,
Sheet1,A131,40-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/100?data-title=40-A+transcription&data-verticalTitle=40-A+transcription&data-type=book&data-id=book_transcription_100&data-boxTitle=40-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F100&data-maxWidth=300,
Sheet1,A133,40-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/101?data-title=40-B+transcription&data-verticalTitle=40-B+transcription&data-type=book&data-id=book_transcription_101&data-boxTitle=40-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F101&data-maxWidth=300,
Sheet1,A135,41-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/53?data-title=41-A+transcription&data-verticalTitle=41-A+transcription&data-type=book&data-id=book_transcription_53&data-boxTitle=41-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F53&data-maxWidth=300,
