sheet,cell,text,url,subaddress
Sheet1,A62,III-E transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/172?data-title=III-E+transcription&data-verticalTitle=III-E+transcription&data-type=book&data-id=book_transcription_172&data-boxTitle=III-E+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F172&data-maxWidth=300,
Sheet1,A64,III-G transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/173?data-title=III-G+transcription&data-verticalTitle=III-G+transcription&data-type=book&data-id=book_transcription_173&data-boxTitle=III-G+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F173&data-maxWidth=300,
Sheet1,A66,IV-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/209?data-title=IV-A+transcription&data-verticalTitle=IV-A+transcription&data-type=book&data-id=book_transcription_209&data-boxTitle=IV-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F209&data-maxWidth=300,
Sheet1,A68,III-H transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/174?data-title=III-H+transcription&data-verticalTitle=III-H+transcription&data-type=book&data-id=book_transcription_174&data-boxTitle=III-H+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F174&data-maxWidth=300,
Sheet1,A70,IV-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/189?data-title=IV-B+transcription&data-verticalTitle=IV-B+transcription&data-type=book&data-id=book_transcription_189&data-boxTitle=IV-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F189&data-maxWidth=300,
Sheet1,A72,IV-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/190?data-title=IV-C+transcription&data-verticalTitle=IV-C+transcription&data-type=book&data-id=book_transcription_190&data-boxTitle=IV-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F190&data-maxWidth=300,
Sheet1,A74,IV-D transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/191?data-title=IV-D+transcription&data-verticalTitle=IV-D+transcription&data-type=book&data-id=book_transcription_191&data-boxTitle=IV-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F191&data-maxWidth=300,
Sheet1,A76,IV-E transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/192?data-title=IV-E+transcription&data-verticalTitle=IV-E+transcription&data-type=book&data-id=book_transcription_192&data-boxTitle=IV-E+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F192&data-maxWidth=300,
Sheet1,A78,IV-F transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/193?data-title=IV-F+transcription&data-verticalTitle=IV-F+transcription&data-type=book&data-id=book_transcription_193&data-boxTitle=IV-F+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F193&data-maxWidth=300,
Sheet1,A80,IV-G transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/194?data-title=IV-G+transcription&data-verticalTitle=IV-G+transcription&data-type=book&data-id=book_transcription_194&data-boxTitle=IV-G+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F194&data-maxWidth=300,
Sheet1,A82,IV-H transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/195?data-title=IV-H+transcription&data-verticalTitle=IV-H+transcription&data-type=book&data-id=book_transcription_195&data-boxTitle=IV-H+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F195&data-maxWidth=300,
Sheet1,A84,V-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/196?data-title=V-A+transcription&data-verticalTitle=V-A+transcription&data-type=book&data-id=book_transcription_196&data-boxTitle=V-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F196&data-maxWidth=300,
Sheet1,A86,V-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/198?data-title=V-B+transcription&data-verticalTitle=V-B+transcription&data-type=book&data-id=book_transcription_198&data-boxTitle=V-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F198&data-maxWidth=300,
